timestamp,iteration,metric_name,metric_value,best_metric,delta_from_prev,delta_from_best
1766175660.0095193,0,combined_score,0.9357279964134871,0.9357279964134871,,
1766175719.7215295,1,combined_score,0.8205917241880764,0.9357279964134871,-0.11513627222541079,-0.11513627222541079
1766175788.8198428,3,combined_score,0.5634215671647969,0.9357279964134871,-0.2571701570232795,-0.3723064292486903
1766175919.2731771,6,combined_score,0.9428441710622256,0.9428441710622256,0.37942260389742877,0.0071161746487384825
1766176090.764771,2,combined_score,0.0,0.9428441710622256,-0.9428441710622256,-0.9428441710622256
1766176093.0814292,4,combined_score,0.0,0.9428441710622256,0.0,-0.9428441710622256
1766176145.617889,5,combined_score,0.0,0.9428441710622256,0.0,-0.9428441710622256
1766176162.4748752,7,combined_score,0.0,0.9428441710622256,0.0,-0.9428441710622256
1766176223.4330728,9,combined_score,0.9429088195423299,0.9429088195423299,0.9429088195423299,6.464848010423463e-05
1766176358.9946628,11,combined_score,0.0,0.9429088195423299,-0.9429088195423299,-0.9429088195423299
1766176544.3850114,8,combined_score,0.0,0.9429088195423299,0.0,-0.9429088195423299
1766176577.3098805,10,combined_score,0.0,0.9429088195423299,0.0,-0.9429088195423299
1766176645.798972,12,combined_score,0.0,0.9429088195423299,0.0,-0.9429088195423299
1766176645.9894474,15,combined_score,0.9219718672090703,0.9429088195423299,0.9219718672090703,-0.02093695233325954
1766176701.398819,16,combined_score,0.9550722150981181,0.9550722150981181,0.03310034788904781,0.01216339555578827
1766176713.7525108,14,combined_score,0.9666803731234717,0.9666803731234717,0.011608158025353532,0.011608158025353532
1766176773.8943126,13,combined_score,0.0,0.9666803731234717,-0.9666803731234717,-0.9666803731234717
1766176780.613197,19,combined_score,0.9326179321790975,0.9666803731234717,0.9326179321790975,-0.03406244094437416
1766176796.1072161,17,combined_score,0.9153385528157142,0.9666803731234717,-0.017279379363383307,-0.05134182030775747
1766176806.8142767,20,combined_score,0.0,0.9666803731234717,-0.9153385528157142,-0.9666803731234717
1766176831.463013,21,combined_score,0.0,0.9666803731234717,0.0,-0.9666803731234717
1766176890.1294515,24,combined_score,0.9189656274650443,0.9666803731234717,0.9189656274650443,-0.04771474565842737
1766176979.592588,22,combined_score,0.9745107208537374,0.9745107208537374,0.05554509338869307,0.007830347730265697
1766177005.886439,25,combined_score,0.928362803623377,0.9745107208537374,-0.04614791723036038,-0.04614791723036038
1766177101.9633708,27,combined_score,0.9292854439774818,0.9745107208537374,0.0009226403541048311,-0.04522527687625555
1766177127.2431388,18,combined_score,0.0,0.9745107208537374,-0.9292854439774818,-0.9745107208537374
1766177127.9902718,26,combined_score,0.9674036400449977,0.9745107208537374,0.9674036400449977,-0.007107080808739674
1766177186.843895,30,combined_score,0.9046366752414406,0.9745107208537374,-0.06276696480355703,-0.06987404561229671
1766177212.804977,29,combined_score,0.944641943825393,0.9745107208537374,0.04000526858395237,-0.02986877702834434
1766177239.6910293,31,combined_score,0.9379546544569766,0.9745107208537374,-0.006687289368416449,-0.03655606639676079
1766177244.042759,28,combined_score,0.974105493281931,0.9745107208537374,0.0361508388249544,-0.000405227571806388
1766177249.021638,23,combined_score,0.0,0.9745107208537374,-0.974105493281931,-0.9745107208537374
1766177321.1756735,32,combined_score,0.952614677655434,0.9745107208537374,0.952614677655434,-0.021896043198303405
1766177404.6882937,35,combined_score,0.0,0.9745107208537374,-0.952614677655434,-0.9745107208537374
1766177410.98109,33,combined_score,0.9217577127390975,0.9745107208537374,0.9217577127390975,-0.0527530081146399
1766177451.4973886,38,combined_score,0.0,0.9745107208537374,-0.9217577127390975,-0.9745107208537374
1766177516.391244,36,combined_score,0.0,0.9745107208537374,0.0,-0.9745107208537374
