timestamp,iteration,metric_name,metric_value,best_metric,delta_from_prev,delta_from_best
1766894988.9069939,0,combined_score,0.9357279964134871,0.9357279964134871,,
1766895047.199237,4,combined_score,0.9518893348619638,0.9518893348619638,0.01616133844847667,0.01616133844847667
1766895090.4576402,2,combined_score,0.9596242334303386,0.9596242334303386,0.007734898568374837,0.007734898568374837
1766895164.4098053,6,combined_score,0.8733877560363223,0.9596242334303386,-0.0862364773940163,-0.0862364773940163
1766895205.651474,3,combined_score,0.0,0.9596242334303386,-0.8733877560363223,-0.9596242334303386
1766895266.6143982,8,combined_score,0.9423750269906865,0.9596242334303386,0.9423750269906865,-0.01724920643965211
1766895338.8738294,7,combined_score,0.9516477929353615,0.9596242334303386,0.009272765944674966,-0.007976440494977144
1766895415.9163885,1,combined_score,0.0,0.9596242334303386,-0.9516477929353615,-0.9596242334303386
1766895433.0189943,9,combined_score,0.9065694447989654,0.9596242334303386,0.9065694447989654,-0.05305478863137325
1766895437.4505193,10,combined_score,0.9275232043919298,0.9596242334303386,0.020953759592964416,-0.032101029038408835
1766895473.068018,5,combined_score,0.0,0.9596242334303386,-0.9275232043919298,-0.9596242334303386
1766895522.5170238,12,combined_score,0.9626521219376789,0.9626521219376789,0.9626521219376789,0.0030278885073402595
1766895638.8446405,13,combined_score,0.0,0.9626521219376789,-0.9626521219376789,-0.9626521219376789
1766895728.7670748,15,combined_score,0.0,0.9626521219376789,0.0,-0.9626521219376789
1766895780.750029,17,combined_score,0.9440047757055735,0.9626521219376789,0.9440047757055735,-0.0186473462321054
1766895851.6646872,11,combined_score,0.0,0.9626521219376789,-0.9440047757055735,-0.9626521219376789
1766895882.656986,14,combined_score,0.0,0.9626521219376789,0.0,-0.9626521219376789
1766895905.3782256,18,combined_score,0.9648063784165714,0.9648063784165714,0.9648063784165714,0.0021542564788924468
1766895917.7884054,16,combined_score,0.0,0.9648063784165714,-0.9648063784165714,-0.9648063784165714
1766895970.854424,20,combined_score,0.9481595776959413,0.9648063784165714,0.9481595776959413,-0.016646800720630073
1766895999.94838,21,combined_score,0.9635495195560396,0.9648063784165714,0.015389941860098344,-0.0012568588605317288
1766896032.6869602,19,combined_score,0.0,0.9648063784165714,-0.9635495195560396,-0.9648063784165714
1766896058.4984736,22,combined_score,0.0,0.9648063784165714,0.0,-0.9648063784165714
1766896069.2555912,25,combined_score,0.9278690496950819,0.9648063784165714,0.9278690496950819,-0.03693732872148947
1766896163.090581,24,combined_score,0.0,0.9648063784165714,-0.9278690496950819,-0.9648063784165714
1766896163.5082672,23,combined_score,0.8284980643036582,0.9648063784165714,0.8284980643036582,-0.1363083141129131
1766896219.1610892,26,combined_score,0.0,0.9648063784165714,-0.8284980643036582,-0.9648063784165714
1766896315.8092723,27,combined_score,0.0,0.9648063784165714,0.0,-0.9648063784165714
1766896397.1044264,30,combined_score,0.0,0.9648063784165714,0.0,-0.9648063784165714
1766896431.6243203,31,combined_score,0.0,0.9648063784165714,0.0,-0.9648063784165714
1766896550.0227716,33,combined_score,0.9470017310571628,0.9648063784165714,0.9470017310571628,-0.017804647359408565
1766896586.7777467,29,combined_score,0.0,0.9648063784165714,-0.9470017310571628,-0.9648063784165714
1766896589.3813696,28,combined_score,0.0,0.9648063784165714,0.0,-0.9648063784165714
1766896607.3293471,32,combined_score,0.0,0.9648063784165714,0.0,-0.9648063784165714
